Trial,Mean,Error,Std.,Error,Angle,Ztheta,s1,r,s,Q,Omega2,Epsilon,V,rho,Z,A,Avagadro,Ne,W,Correction,Result,drdet2,da2,domega,depsilon,dQ,dr2,dsmins1sq,dsquig,domega2,depsilonth^2,ds1,dadd,dW
1,611.63627,0.55186,32.17829,0.60316,20,151.21,21.9,5,60,74009180.75,0.013297319,0.247645969,15.7913665,2.7,13,26.982,6.02214E+23,1.2371E+25,3.18025E-25,1.57,4.993E-25,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.004,0.007423693,0.008432747,0.036517041,-4.55882E-05,0.001826484,0.004397277,1.52424E-25
2,573.96744,0.66519,33.86413,0.74937,30,155.023,10.1,5,60,74009180.75,0.007807108,0.271494603,15.7913665,2.7,13,26.982,6.02214E+23,1.2371E+25,1.27498E-25,1.582,2.01702E-25,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.004,0.005668191,0.006937462,0.033266541,-7.9606E-05,0.003960396,0.00562892,1.30885E-26
3,515.20143,0.4542,31.05327,0.52363,45,202.303,11.6,7,44,74009180.75,0.017870102,0.313368038,22.1079131,2.7,13,26.982,6.02214E+23,1.73194E+25,6.50117E-26,1.613,1.04864E-25,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002857143,0.008729713,0.009185378,0.038267017,-4.94465E-05,0.003448276,0.004478155,4.0847E-26
4,427.32853,0.34973,31.71411,0.37754,60,289.47,7.6,7,30,74009180.75,0.035650653,0.388331173,22.1079131,2.7,13,26.982,6.02214E+23,1.73194E+25,2.18844E-26,1.658,3.62844E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002857143,0.012626907,0.012946121,0.047810255,-4.50197E-05,0.005263158,0.005988664,2.03264E-26
5,360.40682,0.3028,25.37355,0.34968,75,231.153,8.3,10,30,74009180.75,0.034393585,0.457236619,31.58273301,2.7,13,26.982,6.02214E+23,2.47419E+25,1.70363E-26,1.705,2.90469E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002,0.013034226,0.013186776,0.048455036,-4.67871E-05,0.004819277,0.0052178,1.68228E-26
6,311.50032,0.273,20.6224,0.32114,90,223.89,3.8,10,30,74009180.75,0.024966881,0.515208673,31.58273301,2.7,13,26.982,6.02214E+23,2.47419E+25,1.36696E-26,1.745,2.38534E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002,0.010795523,0.010979222,0.042677506,-4.82863E-05,0.010526316,0.010714631,1.2137E-26
7,274.07094,0.20545,16.8402,0.24869,105,209.57,0.7,10,30,74009180.75,0.020485298,0.564493935,31.58273301,2.7,13,26.982,6.02214E+23,2.47419E+25,1.2498E-26,1.795,2.24339E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002,0.009653335,0.00985834,0.039885469,-3.28294E-05,0.057142857,0.057177846,1.08752E-26
8,243.63941,0.33947,17.88374,0.41742,120,173.343,-3,10,40,74009180.75,0.010074373,0.608019478,31.58273301,2.7,13,26.982,6.02214E+23,2.47419E+25,2.11684E-26,1.87,3.95849E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002,0.006577737,0.006875073,0.033138461,-0.000103985,-0.013333333,0.013482499,1.42175E-26
9,209.37859,0.24215,23.66835,0.30894,135,162.408,-6.5,10,40,74009180.75,0.008679392,0.661050825,31.58273301,2.7,13,26.982,6.02214E+23,2.47419E+25,2.76329E-26,1.934,5.3442E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002,0.006082639,0.006403007,0.032191514,-6.25419E-05,-0.006153846,0.006470689,2.00706E-26
10,612.97002,0.40591,27.35403,0.4613,20,157.32,21.9,5,60,74009180.75,0.013297319,0.246841089,15.7913665,2.7,13,26.982,6.02214E+23,1.2371E+25,3.31955E-25,1.57,5.21169E-25,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.004,0.007423693,0.008432747,0.036517041,-2.45034E-05,0.001826484,0.004397277,1.99868E-25
11,560.03568,0.49314,28.90237,0.57091,30,161.3,10.1,5,60,74009180.75,0.007807108,0.280885441,15.7913665,2.7,13,26.982,6.02214E+23,1.2371E+25,1.28225E-25,1.582,2.02852E-25,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.004,0.005668191,0.006937462,0.033266541,-4.68308E-05,0.003960396,0.00562892,5.77415E-26
12,493.9026,0.38872,30.59819,0.44436,45,211.157,11.6,7,44,74009180.75,0.017870102,0.330089729,22.1079131,2.7,13,26.982,6.02214E+23,1.73194E+25,6.44195E-26,1.613,1.03909E-25,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002857143,0.008729713,0.009185378,0.038267017,-4.01856E-05,0.003448276,0.004478155,4.32193E-26
13,422.56237,0.33399,30.79997,0.40307,60,283.747,7.6,7,30,74009180.75,0.035650653,0.392875103,22.1079131,2.7,13,26.982,6.02214E+23,1.73194E+25,2.12036E-26,1.658,3.51556E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002857143,0.012626907,0.012946121,0.047810255,-4.2025E-05,0.005263158,0.005988664,1.98238E-26
14,357.65052,0.23068,22.83305,0.27406,75,224.59,8.3,10,30,74009180.75,0.034393585,0.460323084,31.58273301,2.7,13,26.982,6.02214E+23,2.47419E+25,1.64416E-26,1.705,2.8033E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002,0.013034226,0.013186776,0.048455036,-2.75218E-05,0.004819277,0.0052178,1.65905E-26
15,305.549,0.27085,20.44122,0.32967,90,218.03,3.8,10,30,74009180.75,0.024966881,0.522747204,31.58273301,2.7,13,26.982,6.02214E+23,2.47419E+25,1.31198E-26,1.745,2.28941E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002,0.010795523,0.010979222,0.042677506,-4.89298E-05,0.010526316,0.010714631,1.16591E-26
16,269.81741,0.29379,17.01202,0.35311,105,207.1,0.7,10,30,74009180.75,0.020485298,0.570385048,31.58273301,2.7,13,26.982,6.02214E+23,2.47419E+25,1.22232E-26,1.795,2.19406E-26,0.008,0.004,0.028099258,-0.000530946,2.964906439,0.002,0.009653335,0.00985834,0.039885469,-6.85397E-05,0.057142857,0.057177846,1.02442E-26
