Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,157
31,743
32,950
33,928
34,793
35,641
36,713
37,959
38,1267
39,1409
40,1718
41,2226
42,6642
43,17365
44,20720
45,14157
46,3619
47,1382
48,1748
49,4420
50,5740
51,5072
52,2114
53,931
54,602
55,472
56,462
57,436
58,426
59,491
60,447
61,498
62,487
63,545
64,534
65,537
66,557
67,542
68,597
69,622
70,634
71,653
72,649
73,640
74,668
75,742
76,807
77,729
78,800
79,864
80,1002
81,1036
82,1258
83,1092
84,1038
85,830
86,843
87,855
88,930
89,906
90,1008
91,1068
92,1227
93,1477
94,1475
95,1351
96,1303
97,1245
98,1158
99,1209
100,1134
101,1037
102,1113
103,1039
104,1024
105,1013
106,1005
107,1057
108,1006
109,1014
110,1000
111,926
112,1039
113,1000
114,986
115,1042
116,1047
117,1004
118,997
119,1046
120,1070
121,1056
122,1025
123,1014
124,1005
125,1028
126,1067
127,999
128,1045
129,1112
130,1016
131,1130
132,1562
133,6673
134,14509
135,14472
136,7375
137,1355
138,723
139,690
140,765
141,690
142,638
143,686
144,682
145,662
146,691
147,645
148,725
149,666
150,631
151,638
152,628
153,668
154,683
155,641
156,623
157,667
158,623
159,700
160,695
161,738
162,687
163,730
164,712
165,721
166,714
167,662
168,692
169,746
170,701
171,742
172,722
173,698
174,678
175,701
176,686
177,661
178,718
179,722
180,706
181,645
182,699
183,630
184,706
185,671
186,658
187,627
188,625
189,652
190,591
191,669
192,588
193,614
194,609
195,605
196,591
197,640
198,614
199,576
200,557
201,558
202,582
203,619
204,590
205,582
206,562
207,564
208,548
209,609
210,546
211,540
212,527
213,557
214,536
215,514
216,525
217,589
218,540
219,531
220,553
221,511
222,509
223,530
224,496
225,467
226,496
227,523
228,480
229,478
230,537
231,478
232,498
233,492
234,503
235,505
236,484
237,508
238,504
239,478
240,498
241,469
242,480
243,469
244,448
245,487
246,517
247,462
248,497
249,461
250,436
251,508
252,454
253,430
254,468
255,399
256,422
257,445
258,402
259,434
260,425
261,416
262,432
263,407
264,398
265,402
266,405
267,401
268,580
269,1563
270,2716
271,2632
272,1472
273,502
274,387
275,353
276,343
277,380
278,392
279,379
280,344
281,341
282,330
283,349
284,297
285,323
286,314
287,311
288,275
289,295
290,328
291,297
292,325
293,306
294,296
295,282
296,291
297,294
298,305
299,283
300,321
301,303
302,291
303,272
304,305
305,273
306,285
307,272
308,271
309,281
310,262
311,279
312,273
313,276
314,264
315,280
316,248
317,281
318,256
319,251
320,243
321,262
322,246
323,280
324,258
325,261
326,297
327,380
328,349
329,281
330,258
331,221
332,249
333,232
334,257
335,236
336,243
337,211
338,220
339,219
340,223
341,208
342,202
343,241
344,227
345,226
346,243
347,212
348,227
349,237
350,222
351,207
352,221
353,214
354,239
355,231
356,193
357,245
358,216
359,210
360,227
361,212
362,207
363,213
364,238
365,217
366,193
367,188
368,211
369,211
370,184
371,182
372,183
373,175
374,198
375,243
376,278
377,403
378,872
379,2979
380,5785
381,6038
382,3288
383,670
384,217
385,183
386,165
387,173
388,171
389,156
390,149
391,133
392,156
393,145
394,160
395,171
396,139
397,131
398,152
399,157
400,130
401,160
402,155
403,159
404,189
405,260
406,332
407,318
408,210
409,155
410,150
411,155
412,160
413,140
414,122
415,133
416,136
417,151
418,132
419,167
420,134
421,138
422,165
423,143
424,139
425,160
426,137
427,163
428,165
429,148
430,150
431,144
432,141
433,158
434,142
435,125
436,139
437,144
438,166
439,136
440,119
441,128
442,148
443,133
444,143
445,119
446,133
447,122
448,105
449,114
450,144
451,171
452,211
453,339
454,573
455,528
456,344
457,173
458,151
459,143
460,155
461,151
462,137
463,140
464,129
465,137
466,154
467,144
468,145
469,126
470,122
471,111
472,117
473,122
474,121
475,126
476,149
477,109
478,131
479,127
480,122
481,126
482,123
483,117
484,121
485,141
486,125
487,150
488,178
489,310
490,577
491,678
492,499
493,213
494,119
495,116
496,94
497,118
498,131
499,119
500,110
501,123
502,119
503,101
504,112
505,127
506,122
507,121
508,129
509,100
510,116
511,124
512,117
513,124
