Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,348
31,5045
32,4927
33,4912
34,4992
35,4944
36,4911
37,5044
38,5140
39,5061
40,5381
41,5677
42,6101
43,6796
44,7135
45,8202
46,9325
47,9619
48,9543
49,9882
50,10785
51,13302
52,22381
53,44643
54,60087
55,40689
56,14116
57,7600
58,7217
59,7598
60,10424
61,17374
62,18291
63,12482
64,9107
65,7009
66,6731
67,6865
68,7324
69,7706
70,8012
71,8208
72,7997
73,8001
74,8148
75,8079
76,8437
77,8455
78,8766
79,9283
80,10257
81,10815
82,11637
83,12637
84,11094
85,9567
86,9245
87,10403
88,20536
89,36444
90,29867
91,12446
92,8328
93,9302
94,9709
95,8892
96,8298
97,8113
98,7890
99,7489
100,7659
101,7636
102,7736
103,7787
104,7831
105,8043
106,8019
107,7804
108,7900
109,7936
110,7933
111,8105
112,8063
113,8180
114,8383
115,8525
116,8712
117,9029
118,9678
119,10451
120,11071
121,11212
122,11658
123,11524
124,11688
125,11368
126,11135
127,11130
128,10874
129,10725
130,10484
131,10370
132,10547
133,10251
134,10308
135,10319
136,9642
137,9479
138,9204
139,9057
140,9024
141,9050
142,8979
143,8938
144,9033
145,8800
146,8805
147,9061
148,8988
149,9307
150,9334
151,9334
152,9140
153,9217
154,9192
155,9172
156,9240
157,9090
158,8909
159,8836
160,8896
161,8525
162,8750
163,8509
164,8320
165,8467
166,8202
167,8135
168,8081
169,8045
170,8004
171,7911
172,7872
173,7911
174,7817
175,7941
176,7829
177,7793
178,8106
179,8029
180,7884
181,7699
182,7666
183,7688
184,7527
185,7578
186,7397
187,7428
188,7458
189,7193
190,7222
191,7101
192,7221
193,7148
194,7159
195,6931
196,6797
197,6904
198,6717
199,6786
200,7329
201,8302
202,14754
203,60546
204,143973
205,132486
206,42399
207,9303
208,5821
209,5433
210,5444
211,5670
212,5547
213,5266
214,5171
215,5177
216,5231
217,5324
218,5339
219,5318
220,5384
221,5411
222,5356
223,5304
224,5115
225,5147
226,5078
227,5310
228,5201
229,5166
230,5155
231,5114
232,4996
233,5020
234,5011
235,4906
236,5073
237,5864
238,7636
239,9732
240,8434
241,5506
242,4660
243,4577
244,4427
245,4366
246,4413
247,4426
248,4253
249,4187
250,4197
251,4123
252,4194
253,4116
254,4058
255,4278
256,4424
257,4354
258,4051
259,4039
260,3935
261,3784
262,3811
263,3656
264,3668
265,3612
266,3789
267,3677
268,3594
269,3539
270,3532
271,3480
272,3609
273,3553
274,3459
275,3479
276,3432
277,3371
278,3332
279,3495
280,3256
281,3434
282,3228
283,3255
284,3264
285,3148
286,3482
287,4249
288,4765
289,3992
290,3183
291,3086
292,3137
293,3071
294,3140
295,2980
296,3029
297,2866
298,2932
299,2979
300,2899
301,2870
302,2881
303,2777
304,2839
305,2829
306,3121
307,3509
308,5071
309,12101
310,32327
311,43862
312,25093
313,6378
314,3116
315,2703
316,2514
317,2531
318,2404
319,2407
320,2547
321,2428
322,2355
323,2577
324,2358
325,2331
326,2300
327,2378
328,2459
329,2484
330,2486
331,2968
332,4414
333,6915
334,6278
335,3474
336,2389
337,2166
338,2278
339,2218
340,2260
341,2265
342,2243
343,2291
344,2233
345,2245
346,2130
347,2205
348,2167
349,2115
350,2171
351,2203
352,2209
353,2150
354,2184
355,2147
356,2132
357,2117
358,2089
359,2184
360,2081
361,2187
362,2083
363,2199
364,2197
365,2153
366,2075
367,2198
368,2039
369,2113
370,2088
371,2063
372,2158
373,2102
374,2181
375,2088
376,2185
377,2208
378,2111
379,2067
380,2053
381,2005
382,2044
383,2102
384,2009
385,2072
386,2058
387,2018
388,2043
389,2099
390,2081
391,2010
392,2040
393,2032
394,2026
395,1982
396,2015
397,1888
398,1912
399,1900
400,1999
401,1994
402,2071
403,2253
404,3142
405,4257
406,4115
407,2690
408,2075
409,1920
410,1815
411,1861
412,1790
413,1848
414,1840
415,1902
416,1855
417,1813
418,1879
419,1935
420,1767
421,1901
422,1814
423,1833
424,1792
425,1808
426,1820
427,1790
428,1865
429,1813
430,1836
431,1837
