Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,5
31,52
32,57
33,57
34,60
35,54
36,43
37,50
38,63
39,54
40,68
41,72
42,49
43,33
44,56
45,42
46,70
47,61
48,72
49,72
50,64
51,66
52,67
53,48
54,69
55,66
56,61
57,70
58,87
59,51
60,77
61,79
62,68
63,80
64,88
65,91
66,98
67,73
68,98
69,91
70,90
71,92
72,77
73,95
74,81
75,87
76,94
77,92
78,100
79,89
80,97
81,119
82,156
83,132
84,126
85,88
86,129
87,105
88,104
89,88
90,89
91,89
92,123
93,129
94,118
95,116
96,109
97,98
98,119
99,110
100,109
101,102
102,123
103,101
104,107
105,103
106,103
107,105
108,77
109,119
110,83
111,128
112,96
113,104
114,97
115,82
116,95
117,101
118,100
119,97
120,95
121,83
122,88
123,98
124,101
125,101
126,88
127,88
128,108
129,102
130,90
131,88
132,103
133,89
134,103
135,85
136,83
137,99
138,99
139,86
140,75
141,89
142,91
143,95
144,91
145,98
146,91
147,80
148,79
149,97
150,84
151,95
152,88
153,84
154,86
155,87
156,74
157,96
158,72
159,72
160,84
161,75
162,97
163,67
164,69
165,77
166,84
167,81
168,82
169,82
170,82
171,72
172,81
173,77
174,63
175,78
176,78
177,81
178,71
179,65
180,74
181,65
182,80
183,65
184,69
185,78
186,66
187,72
188,68
189,59
190,60
191,65
192,70
193,56
194,69
195,74
196,57
197,56
198,70
199,67
200,59
201,57
202,70
203,56
204,64
205,65
206,62
207,60
208,66
209,63
210,63
211,75
212,55
213,61
214,69
215,63
216,51
217,57
218,55
219,50
220,68
221,61
222,54
223,63
224,52
225,59
226,50
227,50
228,62
229,52
230,47
231,52
232,52
233,53
234,57
235,56
236,52
237,43
238,48
239,55
240,53
241,60
242,58
243,53
244,59
245,65
246,57
247,56
248,63
249,60
250,67
251,47
252,56
253,54
254,49
255,71
256,56
257,59
258,63
259,58
260,50
261,54
262,50
263,48
264,58
265,69
266,54
267,52
268,49
269,47
270,47
271,48
272,46
273,53
274,50
275,51
276,52
277,49
278,36
279,52
280,52
281,44
282,40
283,44
284,52
285,51
286,42
287,42
288,41
289,42
290,43
291,46
292,47
293,43
294,44
295,42
296,46
297,37
298,49
299,47
300,41
301,36
302,43
303,42
304,42
305,45
306,51
307,34
308,44
309,43
310,31
311,29
312,29
313,48
314,36
315,33
316,35
317,27
318,33
319,36
320,38
321,42
322,39
323,35
324,30
325,35
326,30
327,25
328,29
329,37
330,37
331,27
332,35
333,33
334,27
335,29
336,33
337,37
338,28
339,37
340,35
341,26
342,29
343,34
344,26
345,30
346,41
347,29
348,25
349,30
350,22
351,29
352,33
353,27
354,31
355,32
356,33
357,30
358,37
359,26
360,30
361,33
362,33
363,23
364,28
365,31
366,25
367,34
368,24
369,32
370,25
371,29
372,25
373,34
374,29
375,28
376,24
377,28
378,26
379,24
380,25
381,25
382,20
383,29
384,24
385,23
386,23
387,20
388,28
389,23
390,16
391,27
392,19
393,21
394,31
395,26
396,23
397,26
398,24
399,29
400,19
401,17
402,22
403,25
404,24
405,25
406,16
407,17
408,17
409,29
410,31
411,32
412,18
413,31
414,25
415,23
416,22
417,27
418,21
419,21
420,24
421,21
422,24
423,21
424,22
425,25
426,20
427,20
428,17
429,22
430,24
431,14
432,23
433,14
434,16
435,21
436,24
437,22
438,19
439,17
440,21
441,16
442,22
443,19
444,21
445,34
446,25
447,12
448,20
449,28
450,10
451,12
452,18
453,22
454,22
455,26
456,30
457,19
458,19
459,15
460,17
461,18
462,23
463,22
464,22
465,20
466,19
467,14
468,18
469,18
470,13
471,18
472,18
473,23
474,15
475,18
476,22
477,23
478,13
479,24
480,12
481,17
482,19
483,18
484,17
485,26
486,21
487,27
488,22
489,25
490,20
491,19
492,9
493,24
494,15
495,19
496,16
497,8
498,8
499,17
500,19
501,23
502,20
503,17
504,17
505,20
506,20
507,20
508,19
509,17
510,14
511,12
512,18
513,21
514,12
515,24
516,22
517,17
518,17
519,22
520,12
521,17
522,22
523,23
524,19
525,19
526,24
527,19
528,15
529,13
530,22
531,22
