Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,14
32,18
33,18
34,9
35,9
36,5
37,12
38,10
39,19
40,14
41,9
42,11
43,14
44,19
45,16
46,11
47,16
48,14
49,12
50,16
51,17
52,12
53,16
54,9
55,17
56,6
57,15
58,12
59,11
60,19
61,8
62,17
63,14
64,4
65,9
66,14
67,14
68,13
69,12
70,23
71,18
72,21
73,8
74,21
75,17
76,13
77,19
78,24
79,21
80,29
81,25
82,24
83,18
84,31
85,24
86,16
87,12
88,11
89,17
90,24
91,20
92,23
93,12
94,24
95,28
96,19
97,17
98,20
99,26
100,20
101,16
102,31
103,26
104,26
105,15
106,18
107,22
108,19
109,14
110,15
111,14
112,17
113,12
114,20
115,19
116,24
117,15
118,23
119,18
120,19
121,21
122,19
123,19
124,23
125,18
126,14
127,18
128,20
129,22
130,14
131,19
132,16
133,20
134,18
135,24
136,15
137,11
138,19
139,18
140,16
141,11
142,21
143,29
144,14
145,23
146,23
147,17
148,19
149,21
150,23
151,30
152,21
153,17
154,21
155,18
156,21
157,25
158,10
159,19
160,14
161,17
162,23
163,18
164,13
165,18
166,19
167,20
168,18
169,26
170,17
171,16
172,22
173,20
174,10
175,21
176,20
177,13
178,13
179,16
180,22
181,12
182,16
183,12
184,17
185,10
186,19
187,19
188,17
189,13
190,14
191,18
192,17
193,18
194,13
195,12
196,25
197,8
198,15
199,22
200,15
201,13
202,19
203,13
204,21
205,17
206,15
207,14
208,16
209,14
210,13
211,21
212,11
213,14
214,18
215,13
216,14
217,13
218,13
219,15
220,9
221,14
222,10
223,20
224,16
225,20
226,14
227,26
228,22
229,13
230,13
231,17
232,16
233,18
234,18
235,12
236,20
237,15
238,10
239,19
240,14
241,14
242,10
243,12
244,10
245,13
246,21
247,15
248,19
249,10
250,12
251,10
252,15
253,23
254,15
255,16
256,20
257,11
258,12
259,7
260,16
261,16
262,18
263,17
264,17
265,14
266,11
267,13
268,15
269,13
270,21
271,8
272,15
273,18
274,17
275,13
276,13
277,7
278,13
279,16
280,15
281,13
282,13
283,9
284,12
285,8
286,10
287,11
288,16
289,10
290,10
291,13
292,10
293,12
294,7
295,9
296,11
297,16
298,6
299,6
300,11
301,8
302,8
303,5
304,14
305,2
306,21
307,11
308,8
309,10
310,4
311,4
312,13
313,12
314,10
315,16
316,11
317,10
318,13
319,12
320,10
321,9
322,8
323,11
324,10
325,7
326,10
327,11
328,13
329,11
330,13
331,7
332,8
333,13
334,15
335,6
336,3
337,12
338,11
339,7
340,7
341,8
342,6
343,8
344,9
345,13
346,13
347,9
348,9
349,10
350,10
351,5
352,4
353,14
354,10
355,1
356,9
357,11
358,12
359,3
360,11
361,7
362,7
363,10
364,13
365,9
366,12
367,10
368,10
369,12
370,6
371,7
372,12
373,10
374,10
375,6
376,4
377,7
378,7
379,8
380,8
381,6
382,5
383,9
384,7
385,8
386,9
387,6
388,5
389,13
390,10
391,4
392,7
393,6
394,13
395,3
396,7
397,9
398,5
399,12
400,11
401,5
402,5
403,5
404,8
405,7
406,6
407,4
408,3
409,9
410,8
411,10
412,8
413,6
414,7
415,11
416,2
417,9
418,9
419,4
420,4
421,9
422,4
423,6
424,5
425,8
426,6
427,3
428,4
429,4
430,8
431,8
432,6
433,8
434,6
435,4
436,6
437,6
438,6
439,8
440,8
441,8
442,14
443,7
444,3
445,7
446,2
447,9
448,6
449,4
450,3
451,10
452,1
453,7
454,6
455,6
456,3
457,9
458,6
459,7
460,2
461,7
462,7
463,5
464,10
465,4
466,4
467,7
468,4
469,6
470,3
471,7
472,5
473,4
474,5
475,8
476,7
477,3
478,8
479,5
480,3
481,7
482,4
483,8
484,4
485,6
486,8
487,9
488,4
489,5
490,6
491,10
492,1
493,6
494,9
495,3
496,6
497,10
498,5
499,6
500,5
501,3
502,10
503,5
504,10
505,6
506,9
507,10
508,7
509,4
510,6
511,7
512,9
513,8
514,6
515,4
516,2
517,7
518,6
519,10
520,10
521,8
522,3
523,6
524,3
525,12
526,6
527,7
528,4
529,1
530,4
531,2
